"事务名称","应用名称","Apdex","响应时间中位数(ms)","响应时间 P75 (ms)","响应时间 P95 (ms)","响应时间 P99 (ms)","平均请求时间","吞吐率 (/s)","请求数","错误率(%)","错误次数","慢次数","异常次数","请求类型"
"URI/grcv5/dwr/call/plaincall/dwrNonLawsuitService.getCurrentYearSubjectAmount.dwr","org.springframework.boot.loader.WarLauncher","1.0","9.0","9.0","9.0","9.0","9.00","< 0.01","1","0.00","0","0","0","Web请求"
"URI/grcv5/ajaxLogin","org.springframework.boot.loader.WarLauncher","1.0","89.89853515625","92.449267578125","94.4898531912826","94.89797080042771","91.50","< 0.01","6","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/groupService.getChildren.dwr","org.springframework.boot.loader.WarLauncher","0.9810126582278481","89.51491528888081","129.2434451081032","356.5705484035425","2073.974487299536","152.70","< 0.01","158","0.00","0","2","0","Web请求"
"URI/grcv5/dwr/call/plaincall/flowDesignService.getChildrenHierarchy.dwr","org.springframework.boot.loader.WarLauncher","1.0","89.347802734375","102.1739013671875","112.43478136071936","114.48695518486201","74.50","< 0.01","18","0.00","0","0","0","Web请求"
"SpringController/serverapi/restapi/other/v1/download","fawuorg.springframework.boot.loader.WarLauncher","1.0","86.49755859375","321.9646301269531","345.9929245931926","350.79858635083656","205.00","< 0.01","2","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrPerformFeedbackService.isAbnormal.dwr","org.springframework.boot.loader.WarLauncher","1.0","86.49755859375","118.93414306640625","219.38584530248772","227.8771724346443","109.33","< 0.01","6","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrLasContractCloseService.getOppoEvaluatesByEvaluateId.dwr","org.springframework.boot.loader.WarLauncher","1.0","86.42152471127717","100.42488791725853","112.0849775834517","114.41699452825229","89.29","< 0.01","45","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrLasContractCloseService.getOppoEvaluatesByEvaluateId.dwr","fawuorg.springframework.boot.loader.WarLauncher","0.9","86.081298828125","108.1219482421875","3400.1283650398254","3460.025615885441","425.90","< 0.01","10","0.00","0","1","0","Web请求"
"SpringController/${url.attachment}/${url.attachment.upload} (POST)","org.springframework.boot.loader.WarLauncher","0.5135593220338983","851.6017810023109","3354.946522312505","27618.46532160882","50817.899131310114","4559.89","< 0.01","295","0.00","0","94","1473","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.updateComplianceInfo.dwr","fawuorg.springframework.boot.loader.WarLauncher","1.0","84.81097412109375","86.21646118164062","86.8743896484375","86.9748778338544","84.80","< 0.01","5","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.updateComplianceInfo.dwr","org.springframework.boot.loader.WarLauncher","1.0","84.79593331473214","89.54466247558594","113.10892939544283","117.8217905286001","87.90","< 0.01","29","0.00","0","0","0","Web请求"
"URI/grcv5/wp/oppositeManager/oppositeView.htm","org.springframework.boot.loader.WarLauncher","1.0","84.598046875","129.746337890625","151.54926627856912","155.9098545552697","100.25","< 0.01","8","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrQuickLinkService.findDraftListByAccount.dwr","org.springframework.boot.loader.WarLauncher","1.0","83.07715765035377","85.61573647553067","117.84077505047401","128.92023168001953","86.15","< 0.01","570","0.00","0","0","0","Web请求"
"SpringController/contractCompliance/info/complianceInfo","org.springframework.boot.loader.WarLauncher","1.0","82.23193998115008","84.8479099717251","103.69509364451682","119.93901218899659","82.27","< 0.01","758","0.00","0","0","0","Web请求"
"SpringController/contractCompliance/info/complianceInfo","fawuorg.springframework.boot.loader.WarLauncher","1.0","82.00137394032579","84.5020609104887","86.63257751365502","97.32651550273101","81.37","< 0.01","297","0.00","0","0","0","Web请求"
"SpringController/serverapi/cw/acquire/cwPlan (POST)","org.springframework.boot.loader.WarLauncher","1.0","81.49853515625","85.247802734375","102.94926309539005","108.58985486044548","83.50","< 0.01","12","0.00","0","0","2","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrQuickLinkService.findQuickLinkListByAccount.dwr","fawuorg.springframework.boot.loader.WarLauncher","1.0","81.28959648794235","85.43439473191353","120.8615371869148","144.2393852211535","82.59","< 0.01","269","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrQuickLinkService.findQuickLinkListByAccount.dwr","org.springframework.boot.loader.WarLauncher","1.0","80.85114103618422","85.27671155427632","119.92373825319237","135.49919241853058","82.13","< 0.01","696","0.00","0","0","0","Web请求"
"URI/grcv5/wp/oppositeManager/oppositeEdit.htm","fawuorg.springframework.boot.loader.WarLauncher","1.0","80.0","80.0","80.0","80.0","80.00","< 0.01","1","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrAppFormService.getContractInfoText.dwr","fawuorg.springframework.boot.loader.WarLauncher","1.0","8.50021114864865","9.979624155405405","11.163154247644785","12.928383708000183","10.66","< 0.01","173","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrOppositeService.hasChangeMarkByContractId.dwr","fawuorg.springframework.boot.loader.WarLauncher","1.0","8.480520148026315","10.147897820723685","13.12295114994049","25.6166900907244","9.10","< 0.01","801","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrLegDemandEditService.findConfigInfoByUnitCode.dwr","org.springframework.boot.loader.WarLauncher","1.0","8.1953125","9.09765625","9.819531135261059","9.963906284421682","8.00","< 0.01","3","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrPersonnelService.partTimeLaw.dwr","org.springframework.boot.loader.WarLauncher","1.0","8.0625","8.53125","8.906249977648258","8.981250017881393","8.25","< 0.01","4","0.00","0","0","0","Web请求"
"URI/grcv5/resources/plugins/bootstrap/css/bootstrap.min.css.map","org.springframework.boot.loader.WarLauncher","1.0","8.0","8.0","8.0","8.0","8.00","< 0.01","1","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrProductBusinessListService.findBusinessList.dwr","fawuorg.springframework.boot.loader.WarLauncher","0.9604020712762718","79.96335955363948","239.92477645490635","1073.489999506401","2053.7140605404043","213.20","0.02","3283","0.00","0","35","7","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrOppositeService.findOppositeByCredirCode.dwr","fawuorg.springframework.boot.loader.WarLauncher","1.0","79.93597412109375","85.40396118164062","86.8743896484375","86.9748778338544","73.40","< 0.01","5","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrProductBusinessListService.findBusinessList.dwr","org.springframework.boot.loader.WarLauncher","0.9360769581056466","79.61628901588604","245.05070510332794","1471.897529380304","4852.394260392656","369.40","0.05","8784","0.00","0","358","3","Web请求"
"SpringController/serverapi/restapi/other/v1/download-attachments/{code}","org.springframework.boot.loader.WarLauncher","0.9775720897116411","79.02731489701705","152.85239868164064","401.4839035011828","1899.4572914944729","151.80","0.03","5618","0.00","0","46","0","Web请求"
"SpringController/serverapi/cj/rest/dataCenter/collectOpposites (POST)","org.springframework.boot.loader.WarLauncher","1.0","78.5","79.75","80.74999984105428","80.95000004768372","78.00","< 0.01","3","0.00","0","0","9","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrPerformFeedbackService.changeElementFinish.dwr","org.springframework.boot.loader.WarLauncher","0.5","774.5","804.25","828.0499962170919","832.8100011348724","760.33","< 0.01","3","0.00","0","0","12","Web请求"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/user-tasks/processed (POST)","fawuorg.springframework.boot.loader.WarLauncher","0.5746268656716418","769.1951890242727","1334.207947254181","5386.677362906748","7030.936876837162","1312.39","< 0.01","67","0.00","0","12","198","Web请求"
"URI/grcv5/dwr/call/plaincall/groupService.getTreeNodes.dwr","fawuorg.springframework.boot.loader.WarLauncher","1.0","76.88671875","129.746337890625","298.34340208611684","318.86868653423153","103.75","< 0.01","16","0.00","0","0","0","Web请求"
"SpringController/user/arcic/v1/queryContracts (POST)","org.springframework.boot.loader.WarLauncher","0.9998136414461424","75.87852691569809","81.31779037354713","85.66919995195144","163.48132094740868","69.11","0.02","2683","0.00","0","0","0","Web请求"
"SpringController/user/arcic/v1/queryContracts (POST)","fawuorg.springframework.boot.loader.WarLauncher","0.9994419642857143","75.8456151463964","81.2684227195946","85.60666759607491","86.47431893552746","70.05","0.02","2688","0.00","0","0","0","Web请求"
"SpringController/onlinePreview","fawucn.keking.ServerMain","0.594802969731582","740.9243762694209","1857.7858825316796","8115.228217842223","24456.803487428926","2399.51","0.01","1751","0.00","0","381","284","Web请求"
