"事务别名","名称","平均响应时间(ms)","总耗时(ms)","耗时百分比(%)","请求数","吞吐率(tps)","错误率(%)","错误数","慢次数","应用"
"SpringController/${url.attachment}/${url.attachment.updateAttachValid} (POST)","SpringController/${url.attachment}/${url.attachment.updateAttachValid} (POST)","1692.5844","431609","1.7839783","255","0.0014756945","0.0","0","84","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/${url.attachment}/${url.attachment.updateAttachValid} (POST)","SpringController/${url.attachment}/${url.attachment.updateAttachValid} (POST)","1602.3104","934147","3.861129","583","0.0033738427","0.0","0","156","org.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/cj/rest/dataCenter/collectContractArchive (POST)","SpringController/serverapi/cj/rest/dataCenter/collectContractArchive (POST)","1594.2","7971","0.0329467","5","2.8935185E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/task-form-process/pages/communication/{id}","SpringController/${url.rest.prefix.flowmobileapi.v1}/task-form-process/pages/communication/{id}","1411.0","1411","0.005832115","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/contractView/viewContract.htm","URI/grcv5/wp/contractView/viewContract.htm","1383.5988","217225","0.8978605","157","9.0856483E-4","0.0","0","10","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/cj/rest/dataCenter/collectContract (POST)","SpringController/serverapi/cj/rest/dataCenter/collectContract (POST)","1370.6666","4112","0.016996214","3","1.7361112E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrOppDockingService.oppositeDocking.dwr","URI/grcv5/dwr/call/plaincall/dwrOppDockingService.oppositeDocking.dwr","1355.0","1355","0.005600649","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/flowDesignService.updateFlow.dwr","URI/grcv5/dwr/call/plaincall/flowDesignService.updateFlow.dwr","1314.0","1314","0.005431183","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/user-tasks/processed (POST)","SpringController/${url.rest.prefix.flowmobileapi.v1}/user-tasks/processed (POST)","1311.9851","87903","0.36333126","67","3.8773147E-4","0.0","0","12","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/contractView/viewContract.htm","URI/grcv5/wp/contractView/viewContract.htm","1306.9159","559360","2.312014","428","0.002476852","0.0","0","20","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getContractTotalCount.dwr","URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getContractTotalCount.dwr","1165.0","2330","0.009630636","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.workflow.viewComm}","SpringController/${url.workflow.viewComm}","1128.2916","27079","0.11192618","24","1.3888889E-4","0.0","0","2","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/task-form-process/inst-logs/{id}","SpringController/${url.rest.prefix.flowmobileapi.v1}/task-form-process/inst-logs/{id}","1085.7307","28229","0.116679505","26","1.5046296E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/task-form-process/inst-logs/{id}","SpringController/${url.rest.prefix.flowmobileapi.v1}/task-form-process/inst-logs/{id}","1083.6727","59602","0.24635416","55","3.1828703E-4","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getPerformContractCount.dwr","URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getPerformContractCount.dwr","1081.5","2163","0.008940372","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/archive/acquire/complete/contractInfo (POST)","SpringController/serverapi/archive/acquire/complete/contractInfo (POST)","1042.2858","7296","0.030156706","7","4.0509258E-5","0.0","0","1","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/task-form-process/todo-pages/{id}","SpringController/${url.rest.prefix.flowmobileapi.v1}/task-form-process/todo-pages/{id}","1015.6678","296575","1.2258395","292","0.0016898148","17.465754","51","3","fawuorg.springframework.boot.loader.WarLauncher"
